Obec trvaleho pobytu;Miesto pracoviska (obec);Periodicita dochadzky;POCET
507032;557358;1;1
504131;000000;1;55
504157;504025;1;7
504173;529389;1;1
504181;529320;1;8
504181;504050;1;1
504181;529362;1;1
504131;555754;1;3
504157;529460;2;1
504157;529371;2;1
504157;503673;1;1
507172;506745;1;9
507253;507253;2;121
507024;529311;2;1
556530;507253;2;2
507172;580899;1;1
556521;529320;1;4
556602;506745;2;3
556521;999999;1;1
556602;507032;2;1
507024;506745;2;3
507024;506338;2;1
507075;556211;1;3
507024;502863;2;1
507024;507121;1;1
507172;529419;1;1
507024;507172;1;1
507440;506745;2;11
507440;507032;2;6
507440;507822;2;1
507440;556548;1;1
507440;529389;2;4
507440;506443;1;6
507440;513156;1;1
507440;558338;2;2
507288;507032;1;78
507661;507253;2;13
507792;507288;1;4
507440;529311;2;2
507661;507156;2;8
507661;528595;2;8
507792;528595;2;2
507326;529354;1;1
507288;504203;1;1
507326;500640;2;1
507288;511129;2;2
507539;556513;2;1
558354;507440;2;6
506991;556581;1;1
581399;507342;2;2
506834;517402;1;1
581399;508233;2;1
506834;506206;1;1
506991;507709;2;2
506982;506834;1;1
507008;507342;2;1
506982;507750;2;3
506991;529389;2;1
507709;529320;1;10
558397;506834;1;1
507709;528595;2;7
504203;504815;1;87
507750;529460;2;1
507709;518913;2;2
507563;507679;1;1
507725;999999;1;3
507563;528595;1;1
507750;506583;2;1
507563;556599;1;1
504203;529389;2;5
504203;517461;2;1
504203;508161;2;1
507750;507351;2;1
504203;508438;1;8
507121;999999;1;2
507121;506915;1;5
507121;507067;1;1
507342;581399;1;7
507385;507440;2;12
507199;513903;1;1
507121;529371;2;1
507482;507750;1;2
507121;556548;1;1
507199;507253;1;1
507008;507679;1;1
507369;507709;2;1
507229;506583;1;1
507121;507172;1;1
504203;556653;1;1
504203;508217;1;1
504203;508217;2;2
504203;504238;2;1
504572;504271;2;8
504572;507938;1;1
504475;504203;1;87
556114;999999;1;21
504416;504602;1;4
504513;529397;2;13
504572;504513;2;15
504491;529320;1;2
504513;529320;1;22
504521;999999;2;8
504521;529362;1;1
504602;504602;1;31
504491;504815;1;1
504513;500011;1;1
504513;508195;1;3
504416;508438;2;1
504475;504831;2;3
504491;504319;1;2
504416;500011;2;1
504513;504769;2;1
504602;504238;1;1
504521;504874;1;5
504572;504351;2;1
504416;507253;1;1
504882;504203;1;114
556122;504203;1;50
556131;504904;1;1
556114;503584;1;1
504840;999999;2;9
504891;507253;1;1
504904;504904;1;153
504891;508063;1;21
504823;529320;1;2
504831;528595;2;1
556114;529389;1;7
504831;504360;2;2
504700;504271;1;1
504777;504777;2;1
504823;999999;2;3
504840;504831;1;2
556131;504475;1;1
504840;508063;2;2
504700;500011;1;1
504319;000000;2;1
504360;504203;1;136
504238;504513;1;29
504360;529389;1;1
504319;504351;1;5
504319;529371;1;13
504238;529362;1;6
504238;529354;2;2
504297;529354;1;1
504319;529460;2;1
504220;512036;1;1
504891;508055;1;1
504904;529346;2;3
504378;504670;1;9
504378;504203;2;6
504351;529389;1;3
504432;504432;1;23
504378;508381;2;1
504378;504572;1;1
504378;506915;1;1
504530;504351;1;28
504611;529362;1;1
504432;000000;2;1
504611;000000;2;1
504611;500011;1;1
504548;529389;2;1
504343;504459;1;1
504271;523241;1;1
504815;525529;1;1
504815;501433;2;1
504815;529354;1;3
504912;504351;1;2
504734;504815;2;9
506745;529460;2;14
504742;506745;1;1
504734;506745;2;2
506745;513296;2;1
506745;503509;2;2
506745;506842;2;7
506745;506915;2;1
506745;555495;2;1
506745;507369;1;1
506745;501905;2;1
506745;506982;1;1
506877;528595;1;133
506818;508179;1;4
580473;506940;1;1
580473;580473;2;3
506796;529320;1;5
506788;529460;1;1
506893;507156;2;13
506842;000000;2;6
506869;506818;1;1
506893;507351;1;5
506877;504513;1;1
506851;507318;1;6
506842;529460;1;3
556599;507067;1;1
506923;506745;1;384
506893;506338;1;2
506851;508179;1;1
506893;507709;1;2
506893;508179;1;1
506851;529397;2;1
507318;506834;1;1
507041;506745;2;17
507067;507032;1;2
507156;507318;1;3
507156;507440;1;2
507067;529320;2;4
507156;504203;2;1
506931;518913;2;1
506923;558354;1;1
506931;529397;1;1
506940;529371;2;2
507067;508314;1;1
507067;507687;2;1
506940;506818;1;1
506923;507032;1;1
507636;525405;1;1
556513;504009;1;13
507741;507741;1;148
507741;529320;1;5
542652;000000;1;322
542652;500011;1;21
556513;501573;1;1
507318;529320;1;2
507636;529320;1;11
507687;508179;1;2
507555;999999;2;2
556670;507555;1;1
556513;581020;1;1
556513;507440;1;4
556513;506877;1;1
556513;504009;2;2
507636;529427;1;1
507741;501573;1;1
507636;507806;1;2
507687;529354;1;2
507776;507156;1;18
542652;506559;1;3
542652;529371;2;14
507776;529371;2;3
542652;517402;1;8
507768;507539;1;1
542652;556742;2;1
556491;556513;1;16
507512;507849;1;3
556688;556688;1;13
556564;507741;1;8
556491;556491;2;2
556491;503011;2;1
507296;529389;1;3
556564;528595;2;1
556483;529371;1;3
556483;503835;1;1
556483;507636;1;1
507296;506885;1;1
507555;529427;1;1
542652;543080;1;3
542652;504378;1;1
542652;510262;1;1
513156;513326;1;16
505455;542652;1;133
505544;542652;1;10
505579;505820;1;13
513156;529362;1;3
505544;999999;1;1
545651;513016;1;1
505684;505358;1;1
505765;513881;1;1
505765;506532;1;1
505455;999999;1;2
505552;505455;1;10
505579;543080;1;3
505552;529320;1;1
505455;529460;2;1
505552;505315;1;5
505447;505960;1;1
505480;512036;2;3
513156;529397;2;1
505455;543080;1;1
513016;505820;2;61
513156;504203;2;1
582301;513610;1;14
512885;513342;2;1
557391;505820;1;6
513016;505846;1;1
513016;546682;1;1
512931;512885;2;2
505684;504998;2;1
505331;529346;1;1
542652;556513;1;2
542890;529460;2;2
505102;508217;2;1
505102;000000;2;3
542741;529460;1;2
505102;505684;1;3
505358;528595;1;2
505331;505315;2;1
542873;505820;1;4
542652;505978;1;1
556742;542652;2;2
542822;512842;1;1
556289;529397;1;1
556793;505820;2;1
556742;505684;1;3
513016;508594;1;1
513016;513296;2;7
513016;529338;1;2
513016;519529;1;4
513016;517461;1;2
513296;000000;1;60
513440;513610;1;17
513253;000000;1;31
513440;508691;1;1
513351;513253;2;2
513385;513326;2;1
513351;512885;1;1
513351;505820;1;6
513296;513156;2;5
513351;529371;1;1
513385;513156;2;2
513385;557421;1;2
513296;513351;1;1
513351;506559;2;2
513440;557391;1;1
513598;508438;1;1
557412;506281;1;7
513440;507253;1;1
513598;513610;2;3
504581;504467;1;41
513440;513091;1;1
504581;504688;1;26
513440;512885;2;1
513440;503797;1;1
513725;999999;1;5
513091;513156;2;5
557404;000000;2;1
557404;513440;1;7
557404;506559;1;3
557404;529460;1;1
513024;529346;1;1
513091;512036;1;1
513091;512851;1;1
513253;517461;1;1
504581;504971;1;16
513865;512851;2;1
504581;501433;1;1
513865;512842;1;1
513865;507440;2;1
504262;528595;1;40
506150;506338;1;34
506338;529320;2;11
506150;507440;2;1
504688;504815;2;1
504793;529346;1;4
504696;507750;1;1
506150;507822;2;1
506419;507466;1;7
504467;504416;1;1
506338;512851;2;1
506338;513440;1;1
504971;507440;1;1
506338;529354;1;9
506338;506401;1;2
506338;513610;1;1
506338;506303;1;4
506338;507253;2;2
506338;506567;1;1
506338;529443;1;1
504262;504971;1;5
504289;504203;1;6
504254;504581;1;164
504254;000000;1;8
504254;504815;2;2
506141;528595;1;1
504262;508225;1;1
504262;504661;1;3
504408;504840;1;1
504581;508110;2;1
504254;504866;1;1
504262;506524;2;1
504262;504289;2;1
504262;529338;1;1
506052;506338;1;82
505897;999999;2;2
505871;000000;2;5
506001;507440;1;106
505871;556424;1;2
505846;505846;2;10
505889;529346;1;1
505889;507156;1;1
505846;999999;2;2
505889;507725;1;1
