Obec trvaleho pobytu;Miesto pracoviska (obec);Periodicita dochadzky;POCET
501115;501573;2;1
501387;501140;1;1
502031;529494;2;2
502031;508438;1;10
502031;529460;1;22
502031;529311;1;8
502031;513610;2;1
502090;502031;2;6
502031;503274;2;1
502031;502715;2;2
502031;525596;2;1
502031;545350;1;2
502031;582301;1;1
502031;508063;1;1
502031;504203;1;1
502120;999999;1;3
555843;502677;1;16
502286;502642;1;12
502154;502375;1;1
502294;502863;1;5
502162;502693;1;8
502162;502031;1;24
502103;999999;2;1
555843;503231;1;2
502219;502588;1;1
502219;526355;1;1
580937;502031;2;1
502219;999999;2;2
502057;542849;1;1
502065;502197;1;1
555843;528595;1;1
502201;502430;1;1
502197;500011;2;1
502120;500011;1;1
502197;502782;1;1
502502;508179;1;1
502570;502502;1;1
502677;502251;1;1
502421;529362;2;1
502502;507440;1;1
502511;502651;1;2
502511;502821;1;5
502570;501026;1;1
502588;502987;1;1
502448;502448;1;15
502499;500968;2;1
502413;517402;2;1
502570;502260;1;4
502421;517402;2;1
502413;503011;2;1
502707;502707;2;5
502600;502987;1;33
502618;502413;1;7
502677;502782;1;2
502693;502031;2;8
502693;529460;1;1
502626;503584;2;2
502715;502031;1;62
502715;502171;1;1
502642;518387;2;4
502626;503525;1;1
502715;528595;1;1
502626;503185;1;1
502294;999999;1;3
502227;503215;1;1
545350;502863;1;2
502251;502979;1;24
502367;529371;2;1
502341;999999;2;1
581895;999999;2;1
502286;545350;1;1
502324;502804;1;4
502383;502693;1;1
502391;999999;1;1
502260;502413;2;1
502260;502171;1;1
502782;502154;1;8
502782;518158;1;7
502847;502766;1;1
502782;501026;2;1
502766;500968;2;1
502723;502278;1;1
502782;516384;1;1
502863;502421;1;14
502987;502979;1;38
502936;502863;1;4
502979;502987;1;14
502987;503584;1;10
502987;501026;1;3
502936;502154;2;1
581160;502766;2;1
502936;502863;2;2
502987;529419;2;2
502979;529346;1;1
502944;581895;1;1
502936;529346;1;1
500011;529460;1;85
502995;529320;2;1
500011;504378;1;3
500011;505421;1;3
502995;500011;2;1
503002;500011;2;1
500011;506338;1;6
502812;502812;1;16
502821;502782;2;2
502880;502821;1;1
502821;501026;2;1
502821;508438;1;1
502863;505820;1;1
500011;504050;1;4
500011;518158;2;5
500011;508233;1;2
500011;555959;1;3
500011;516945;1;1
500011;529338;1;1
500011;500895;2;1
500011;504866;1;1
582387;528595;1;1
500101;500101;1;72
500020;528595;1;4
500011;598186;2;1
545589;500844;1;3
500101;528595;1;2
555886;555908;1;18
555886;558320;1;1
500356;500356;2;9
500135;513016;1;1
545589;529460;1;2
582387;500704;1;1
581623;507806;1;1
500101;500640;1;2
545589;529389;2;1
500101;507172;1;1
545589;555991;2;1
500160;501018;1;1
500011;514268;1;1
500011;555991;2;1
500402;500402;1;64
500381;500011;2;11
500399;507032;1;2
500194;500101;1;1
500372;500429;1;1
500402;500631;1;1
500411;500992;2;3
500381;529371;2;1
500691;000000;1;7
500577;555991;1;6
500631;500321;2;1
500640;505714;2;1
580899;500950;1;16
500691;503509;1;4
500704;507521;1;3
500674;500941;1;3
500682;500062;1;1
500577;528595;1;4
500712;529346;2;1
500577;507938;1;1
500917;500933;1;38
555860;529389;2;1
500780;999999;2;2
500887;503380;1;1
500895;501140;2;1
500917;529389;1;2
500887;999999;2;3
555991;529389;1;2
500798;500607;2;1
500895;580899;1;1
555908;500011;2;7
545635;500011;2;21
500453;500704;1;3
500488;529320;2;1
580899;504998;1;6
500453;504025;1;1
500453;529371;1;1
500470;503592;1;4
555851;500194;1;2
500488;529354;1;1
500534;000000;1;2
500470;000000;2;1
580899;529443;1;1
545635;505285;1;1
500488;506885;1;1
545635;500968;2;1
555908;558320;1;1
500941;500381;1;4
500933;000000;1;34
500933;503011;1;4
501018;501018;1;11
500933;514268;1;1
500933;529346;1;9
500941;503363;1;1
503011;501328;1;13
503011;508179;2;3
503011;503517;1;9
503011;506559;2;1
503011;507032;1;1
503011;560103;2;1
503169;503011;1;77
503223;504025;2;4
503151;529419;2;1
503185;529320;1;3
503134;502031;1;1
503193;503479;1;15
503207;503207;1;21
503240;503258;1;4
503193;502481;2;2
503207;504262;2;1
503223;503177;2;1
503240;502782;1;2
503193;529389;2;3
503312;503525;1;4
503215;503169;1;10
503231;503185;1;1
503266;502413;1;6
503215;503177;2;1
503274;503169;2;1
503193;503126;2;1
503088;501026;1;3
503053;500011;1;3
503070;529346;2;8
503096;999999;2;3
503088;502031;2;2
503088;502979;1;4
503088;529354;2;1
503029;514462;2;1
503061;999999;2;2
503321;529397;2;1
503355;999999;2;5
503282;503398;2;1
503452;503614;2;3
503371;500631;1;2
503282;503380;2;2
503282;999999;2;4
503371;529371;2;1
503371;555908;1;1
503347;503011;1;1
503355;502979;1;1
503371;508853;2;1
503568;517402;1;1
503509;529346;1;1
503517;503584;1;12
503533;529389;2;1
503550;500011;1;6
503584;000000;1;118
503568;528595;1;5
503517;529311;2;1
503517;503177;1;2
503550;543004;1;1
503487;502481;1;1
503550;503584;2;3
503517;503550;2;2
503568;508179;1;1
503550;503436;1;1
503584;529389;1;3
503576;502979;2;1
503509;514071;1;1
503592;503495;1;1
503592;503282;1;16
503592;556050;1;9
503584;502863;1;3
503584;502871;1;1
503401;501905;1;1
503436;501395;1;2
503452;513326;2;1
503479;502413;2;3
503401;518204;1;1
503452;529371;2;2
503401;556092;2;1
503606;503479;2;5
503592;504025;1;9
503592;504025;2;3
503631;529419;2;5
503614;503185;2;1
504025;529354;1;51
504025;503886;1;50
503649;503592;2;1
504025;504017;2;4
503649;000000;1;4
556025;500011;1;6
556025;518158;2;3
504025;512842;2;5
504025;503223;1;2
500241;529320;2;2
504025;501735;1;1
504025;508179;1;2
504025;508209;1;1
503380;999999;2;6
503614;503592;2;3
556050;503452;1;3
556050;518158;2;1
503614;529362;1;5
503631;508438;2;1
503614;555509;1;1
504165;000000;1;24
500241;500241;1;51
555878;500739;1;92
555878;500011;2;11
500739;500739;1;496
503886;529371;1;6
555878;555789;1;2
500241;508179;1;1
503886;500739;1;2
500241;508063;1;1
503711;503924;1;1
500241;500712;1;1
503720;529460;1;1
500241;000000;1;1
504092;503991;1;9
504092;529371;2;2
504165;504190;1;7
504068;529419;1;3
504092;529311;1;4
504068;503665;2;9
504998;542709;1;2
504068;504114;2;1
504068;504050;1;1
504998;505447;1;1
504998;514268;2;2
504998;509931;2;1
504998;500836;1;1
504998;500500;1;1
504998;529494;2;2
504068;501395;2;1
503932;529346;1;11
503991;508217;1;6
503991;507938;1;1
503932;528595;1;8
500739;514187;1;1
503991;503452;1;1
500739;508438;1;2
500739;502863;2;1
504998;513296;2;1
542792;504998;1;32
542717;505676;1;13
542717;000000;1;18
504998;507750;2;1
505374;505374;1;164
543071;543071;1;124
543110;543110;1;13
556157;505561;1;2
543071;500011;1;11
543071;505552;1;1
556149;556742;2;1
505340;505340;1;9
543039;507156;1;1
556149;999999;1;1
543101;505846;1;1
543101;508209;2;1
505048;000000;1;15
543063;500674;1;1
543071;505498;1;2
505048;542733;1;6
556165;999999;1;1
556157;505498;1;1
556157;529419;1;2
543063;502413;2;1
556238;505536;1;12
505226;580457;1;9
581658;529346;1;1
505510;505285;1;9
505340;505773;1;3
505048;529401;2;1
505404;529397;2;1
505404;529389;1;1
505234;999999;1;1
505064;542938;2;1
581658;529371;1;1
543071;513881;1;1
556351;556351;1;9
542938;543292;2;1
542695;529346;2;3
542717;529389;2;2
542938;504998;2;12
542717;505374;1;2
542709;512851;2;1
505617;505374;1;13
505714;500011;1;23
500968;500933;1;90
505498;543071;1;7
505498;580457;2;1
505498;999999;1;6
505676;518158;2;1
505714;542695;1;1
505498;500968;1;1
505714;529354;1;2
580457;529320;1;1
505641;529320;1;2
505641;505048;1;2
505536;529320;1;1
505498;581305;1;1
505439;505820;2;1
505536;000000;2;1
556238;529435;1;2
500062;000000;1;21
500062;500968;1;105
500062;500011;2;9
500283;500283;1;73
500968;529320;1;19
500500;560103;2;1
500283;517381;1;1
500721;500721;1;57
500364;500305;1;6
500437;500593;1;8
500500;500747;1;2
500542;529389;2;1
555924;555932;1;1
555924;500151;1;1
500585;507440;1;4
500500;500011;2;1
500585;000000;1;5
500429;529389;1;1
500593;529346;1;1
500542;500461;1;2
500585;500925;1;2
500500;505315;1;1
500321;529389;2;1
500364;529397;1;1
500500;517291;2;1
500658;503584;1;1
505749;505773;1;5
505757;508055;2;1
505757;504998;1;14
505757;505421;1;5
505773;504998;1;96
500062;508071;1;1
500968;529311;1;4
505714;513881;1;1
505749;000000;1;5
505757;999999;2;1
500836;517330;1;1
555932;500968;1;44
500925;500968;1;73
500810;529338;1;1
500836;502031;1;1
500925;999999;2;2
500810;500925;2;1
517305;500011;1;4
500925;500968;2;7
517305;000000;2;7
500747;500305;1;3
500828;500933;1;4
500925;529397;1;1
500925;999999;1;1
500976;500461;1;1
500836;507814;2;1
500909;500828;1;1
517631;517461;1;107
509132;517402;1;335
518018;509302;1;2
518018;513610;1;3
581984;517526;1;6
517895;513474;1;2
517992;529346;1;1
581984;512699;2;1
517631;513610;2;1
517895;513903;1;1
517861;508179;2;1
518085;508438;2;1
509132;509493;1;75
509132;512036;2;6
518085;509507;1;1
509132;528595;2;17
509132;509540;2;4
518085;581984;2;1
518085;517917;1;1
509132;529397;2;3
517461;517674;1;10
517461;529419;1;1
509132;518263;2;1
509248;529435;2;1
509221;509256;2;3
509248;509248;2;48
509183;509451;2;1
509248;529371;2;3
509230;507440;2;1
509213;529397;1;1
509230;508438;2;2
509159;509345;1;6
509213;000000;2;12
509159;503011;2;1
509167;528595;2;3
509213;529460;1;1
509159;509523;1;1
509213;508217;1;1
509183;509183;2;3
509299;509507;2;3
509299;512842;1;1
509248;518158;1;1
509337;528595;1;2
509311;510998;1;1
509477;509132;1;158
509477;509531;1;8
509361;509159;1;3
509400;528595;2;8
509361;509256;2;1
509400;509523;2;2
509337;509523;1;1
509345;500011;1;1
509493;509400;2;1
509493;517402;2;12
509493;500011;1;1
509523;999999;1;30
509507;512036;1;3
509507;507156;2;2
509507;503479;1;1
509540;000000;2;66
509523;529435;2;1
509540;510165;1;55
509540;508063;1;1
509540;511102;1;7
509531;505463;1;1
509523;509311;1;1
509515;529320;1;1
509531;509205;1;1
509477;509221;2;1
509451;508217;2;1
509477;510998;2;2
509540;510203;1;1
509256;517402;1;1005
510254;509540;2;16
509922;529346;1;2
510041;509957;2;5
510181;509540;1;95
510211;523658;1;2
509922;510165;2;1
509957;509868;1;6
510041;509671;1;3
510017;512371;1;1
510165;508438;1;2
509957;510017;1;1
509957;513610;1;1
509922;529320;1;1
509256;529354;2;2
509175;529460;1;2
509264;509132;1;54
509256;509515;1;1
509256;509329;2;1
509761;509868;1;3
509787;509965;1;2
509761;505820;1;1
509698;518042;2;2
509671;512036;1;1
509639;509710;1;1
509701;510998;2;1
509272;000000;1;22
509426;512036;1;3
509264;529320;1;3
509272;509272;2;3
509175;529346;1;1
509281;507440;1;1
509264;508438;2;2
509281;528595;1;1
510262;510726;1;498
510262;510734;2;28
510262;512036;1;9
510262;510572;1;5
510262;500011;1;5
510262;529320;2;6
510262;506184;2;1
510262;529435;2;1
510262;511048;2;1
510262;581674;1;1
509469;509256;2;5
509302;512729;2;1
509329;517402;1;156
580791;509281;1;5
509302;523381;2;2
509302;598186;2;2
509426;529397;2;1
580791;518158;1;1
509469;999999;2;7
509370;510106;1;1
509329;529346;1;2
509370;509272;1;1
510351;511196;1;1
558281;529362;1;2
510572;000000;1;1
510572;510572;1;68
510572;510572;2;6
510351;529346;2;1
510262;510751;2;2
510271;510467;1;1
510319;511170;1;1
510386;529320;1;1
510319;510777;1;1
510262;511218;1;1
510793;510262;2;24
510726;510726;2;111
510726;511111;1;7
510751;506745;1;1
580287;558281;1;6
510726;500011;1;3
510751;510947;2;1
580287;511196;1;2
510726;525529;2;1
512036;000000;1;794
510904;511048;1;2
510963;518158;1;1
510963;560103;1;7
511145;000000;1;11
510921;510998;2;1
512036;512320;2;2
510963;529397;2;1
511145;511145;2;1
511048;524140;1;2
511129;508217;2;2
510963;510998;1;1
511129;523844;1;1
510912;558281;1;1
511137;510262;1;2
511170;501573;2;1
511170;529389;2;1
510416;510262;1;84
510467;510467;1;163
510513;510327;1;7
510424;511153;1;1
510572;510271;1;1
558281;529397;1;1
510467;511196;1;4
510521;510751;1;1
510572;511111;1;1
510653;510726;2;1
510416;510581;1;1
510416;510424;1;2
512036;516589;1;2
512036;510670;1;2
512036;512460;1;13
511170;510904;2;1
511200;511200;2;6
511188;510858;1;2
512036;517461;1;1
511196;510301;1;1
512036;504815;2;2
512036;508594;1;1
512036;529427;2;1
512036;505315;2;1
512036;544051;1;1
512036;513814;1;1
512371;512371;1;65
512583;512036;2;4
512648;529338;2;1
512524;557358;1;11
512591;512036;1;39
512567;509744;1;1
512591;512036;2;2
512354;517402;1;3
512371;512257;1;1
512354;512761;1;5
512478;557358;2;2
512583;512591;1;2
512613;512371;2;1
512761;512371;1;18
512796;000000;2;2
512711;512648;1;8
512672;557358;1;3
512681;557358;2;16
509868;509914;2;8
512664;512672;1;1
512681;512729;2;1
512681;508438;2;2
512150;512729;1;9
512168;512168;1;8
512257;517402;1;2
512290;512036;1;22
512036;509001;1;1
512061;518158;2;1
512290;512036;2;1
512290;512214;1;1
512354;512613;1;4
512052;557358;2;2
512052;999999;1;2
512214;512681;2;1
509868;999999;1;28
509868;510033;1;6
509868;509892;1;12
509868;509809;1;33
509868;529443;2;2
509558;517402;2;3
509868;509701;1;6
557358;510262;1;2
557358;513881;2;1
557358;529371;1;1
557358;529435;2;1
512834;512168;2;1
557358;509132;1;1
509884;999999;1;7
509914;510050;1;12
509809;510203;1;4
509779;505820;1;1
509884;529320;2;2
509809;508438;1;2
509817;000000;1;2
509809;529346;1;1
509850;511188;2;1
510033;510246;1;3
509931;509931;2;22
509892;508438;2;3
509906;509868;2;7
510033;510033;2;4
509914;509809;1;4
509892;509931;1;10
509914;529338;2;2
509906;519006;2;1
509931;529397;1;1
509892;528595;1;3
509914;517402;1;2
509931;518158;1;1
509906;510106;2;1
509914;507989;2;1
509680;512036;1;5
509582;517402;2;4
509582;529397;1;1
509680;510157;2;1
509868;529427;2;1
509680;509850;1;1
509566;510262;2;1
509582;509451;2;1
509582;510262;2;2
509680;509591;1;1
509566;581640;2;1
510025;510998;2;1
510998;529371;1;4
510050;529443;1;5
510025;510106;2;1
510025;510165;1;2
510050;529389;2;3
510203;529354;2;1
510050;516643;2;1
510203;512133;2;1
510998;510726;1;27
510998;529346;1;20
510998;518158;2;6
510998;516589;1;1
510998;506338;1;2
510998;509957;1;2
510599;999999;2;6
510998;529338;1;3
510998;529401;1;2
510998;519006;2;1
510203;510106;1;3
510246;510033;1;2
510246;509540;2;1
510815;500933;2;2
510637;510718;1;9
510548;510262;1;5
510629;513610;2;1
510441;510262;1;4
510548;510165;1;2
510548;509701;1;1
510629;508853;2;1
511030;000000;1;6
511030;557358;2;19
511064;511064;1;42
511005;509540;1;5
511005;508438;1;3
511030;518069;1;1
511030;509701;1;5
511064;512681;1;2
511064;557358;1;4
512729;516970;1;4
511005;507300;1;3
511056;517593;2;1
512729;516988;1;4
512699;518158;2;3
512621;999999;2;6
512273;512559;1;7
512699;529460;2;1
512222;512729;2;4
512265;512222;2;1
512044;512036;1;14
512338;512125;1;5
512621;514331;1;1
512087;512320;2;1
512605;513881;2;1
512699;516961;1;1
512729;512061;2;1
512443;508845;1;1
512460;512087;1;1
510866;510866;1;13
510815;557358;1;3
511005;543292;2;1
510785;509540;2;1
510955;510998;2;4
510742;510785;1;1
510742;510998;2;5
510815;510670;2;1
510742;512648;1;2
510661;500011;1;1
510742;517402;2;2
510661;508438;1;2
510823;509728;1;1
510785;529346;2;1
510661;517461;1;1
510785;512036;2;1
510955;510301;2;3
510114;509540;1;43
510114;529371;1;8
509604;510106;2;15
509795;510173;1;12
509876;000000;1;25
510114;513253;2;1
509604;504297;2;1
512788;512494;1;1
518719;509876;1;3
510114;518158;1;1
512788;512354;1;2
510106;509787;1;1
510106;999999;1;13
510190;509604;1;1
510190;510076;2;1
510106;529443;2;1
517402;513881;1;10
517402;509132;1;76
517402;503665;1;2
517402;529397;2;15
517402;517496;2;1
510076;518719;1;10
509876;523585;1;1
509795;512036;1;2
509795;509876;2;3
509795;529320;1;4
509795;513156;1;1
509795;518158;2;3
510076;517402;1;1
509663;510076;2;4
517402;523381;2;9
517402;547557;1;1
517402;528099;2;1
547522;000000;1;10
547522;547522;2;3
517429;529460;1;3
517551;509256;1;2
517526;517593;1;61
517429;517551;1;3
517429;543853;2;1
517500;509256;1;3
517526;000000;2;4
517593;528595;1;1
517518;529320;2;1
517526;529320;1;2
557986;502863;2;1
517500;526355;2;1
517577;557935;1;1
517542;509345;1;1
517640;517682;1;2
517500;510998;1;1
517551;517984;1;1
557986;529443;1;1
517763;529494;1;1
517917;529371;1;5
557994;513610;2;1
517763;518069;2;1
517658;000000;2;5
517763;529494;2;1
517682;522279;1;1
517755;517879;1;2
517658;517682;2;1
517658;526355;2;1
517984;999999;2;7
517933;517933;1;201
517984;510998;2;1
518042;510262;2;4
517976;509132;1;1
517933;529320;1;1
517941;529311;2;1
517984;517801;2;1
517976;522279;2;1
517984;509850;2;1
517925;529320;1;1
517968;508438;2;1
517933;557960;1;1
517984;517496;1;1
518034;000000;1;48
518034;500011;2;1
517984;509256;1;2
518034;509264;2;1
518042;510106;2;1
518051;512036;2;1
547611;517402;2;17
517771;999999;2;36
517917;529460;2;3
547620;547620;1;2
517917;513156;1;1
517801;529320;1;1
557960;505820;1;1
517917;529397;1;1
517780;512842;1;3
547611;528595;2;2
517917;509540;1;1
557960;517933;2;1
517917;542652;1;1
517780;510262;2;1
508438;518506;1;36
518069;513016;2;1
518093;517933;1;1
518093;510726;1;1
508438;529320;2;20
508438;503665;1;2
518131;507156;2;1
518077;581712;1;3
518093;529320;2;1
518093;512842;1;1
508438;507440;2;3
508438;515311;1;1
508438;508616;1;1
508438;506745;2;2
508438;511838;2;1
508438;518549;1;1
508438;518204;1;1
508471;508985;1;1
580236;508454;1;8
508675;529346;1;1
508438;508217;1;1
508721;000000;1;13
508659;000000;1;2
508748;508438;2;5
508764;510998;1;1
508586;508659;1;1
508985;000000;2;10
508519;599824;1;1
508519;512036;1;1
508802;508594;1;4
508659;529419;1;1
508586;508837;1;1
509001;557293;1;4
508497;508853;1;1457
516643;516589;1;57
509027;508853;1;1
516643;516708;1;1
516597;516643;1;159
508497;508438;1;219
557269;529460;1;1
516678;000000;1;1
508497;507156;1;1
508497;512036;2;3
508497;529371;2;3
516856;516716;1;1
509001;508675;1;1
557285;508438;1;332
509019;509019;1;41
508926;509001;2;1
509001;508624;1;1
509019;509019;2;6
508969;000000;2;4
508462;508497;1;115
508497;516589;2;1
508446;508446;1;39
508608;525987;1;3
508667;508497;2;6
508667;508667;2;11
508705;508438;1;25
508608;508870;2;6
508608;509591;2;1
508527;508527;2;24
508853;508853;2;36
508535;509001;2;1
508535;516589;2;1
508608;510998;1;1
508608;518808;1;1
508811;508811;2;1
508845;508845;1;16
508853;508667;1;19
508888;515680;1;30
508811;000000;1;5
508870;525987;1;15
509043;523381;2;3
508870;508675;2;1
508811;598186;1;1
508772;508438;2;1
508811;508624;1;1
508870;529311;2;2
508870;557293;1;1
508462;508497;2;7
508489;509124;1;1
508497;525791;1;2
508462;523658;1;1
508497;518239;1;1
557251;508811;1;1
518263;508438;1;96
509086;510726;2;1
508900;508900;2;18
508934;508934;2;13
508900;501433;1;1
508900;509761;2;1
508900;509094;1;2
508900;529389;2;1
509043;000000;2;3
509086;508918;1;1
509086;529320;1;5
508900;528595;1;2
509086;529346;1;1
508900;509051;1;1
518794;518689;1;3
518271;518158;1;17
511510;518271;1;7
518263;506745;2;1
518468;558133;1;3
518557;518557;1;1834
518549;518972;1;1
518492;518492;2;4
511731;529419;1;1
511731;511358;2;1
511510;529346;2;1
518263;529435;2;1
509094;000000;2;2
518263;506877;1;1
518263;515680;1;1
518263;512036;1;1
518212;517381;2;1
518557;518573;1;1
518557;522007;1;1
518867;518387;1;62
511218;511498;1;1
511218;515264;1;2
518999;518557;2;1
511218;511471;2;2
518280;518417;1;3
518280;518557;1;36
518387;529320;1;3
518484;518158;2;1
518646;518701;1;2
518611;999999;1;1
518425;502243;1;1
518611;518751;1;1
518409;511609;1;1
511641;511218;2;19
511641;529371;2;1
511391;557293;1;1
511609;511692;1;1
511641;518824;2;1
511421;511749;1;2
511838;511218;2;6
511561;511421;1;2
511625;511722;1;3
511579;511579;2;2
511439;511391;2;1
511439;528595;1;1
511391;529427;1;1
511790;511854;1;1
511790;518158;2;1
511846;511218;2;2
511790;529397;2;1
511722;511811;1;1
511781;514942;1;1
511790;511897;1;1
511838;511391;1;1
511366;511358;1;3
511544;598682;2;1
511358;515892;1;1
511391;511994;1;1
511391;529354;1;1
511765;580317;1;1
511943;518263;1;1
557307;511919;1;9
511994;515850;1;2
557307;509868;1;1
511927;511927;2;5
511994;000000;2;1
511269;511391;1;1
511943;529460;2;1
511765;514888;2;1
512010;508438;1;1
557307;509868;2;1
526142;000000;1;90
514721;525651;1;3
525766;525766;2;1
512001;557307;1;4
526142;526151;1;1
515515;525529;2;1
526142;525995;1;11
515515;511765;1;3
526142;518506;2;1
526142;515370;1;4
525774;526142;1;24
580384;000000;1;5
525774;000000;1;2
514756;515671;1;1
514756;526142;2;1
514721;525529;1;1
514756;526142;1;2
525677;508438;1;1
511315;557307;1;9
511471;000000;2;3
511498;516970;2;1
511498;529320;1;4
514900;529371;1;1
511471;511919;2;1
511447;508250;1;2
511315;518263;1;2
511471;518263;1;1
511498;511391;2;2
511340;529443;1;2
511340;511978;1;1
511498;511269;1;1
526029;525791;1;8
526029;515680;1;1
525791;526142;2;2
525987;506745;1;1
525987;514462;2;1
526118;525791;1;23
526002;999999;2;1
526002;526002;2;1
515612;514519;1;5
514462;528595;1;32
514462;557790;1;1
514462;513881;1;1
514462;514551;1;4
514462;514641;1;1
514462;515442;2;1
514462;514799;1;1
514462;525782;1;1
515612;508497;1;1
515612;515523;1;1
526151;525987;2;1
526151;000000;2;1
515523;508438;1;1
514888;514829;1;13
557757;514462;1;7
514624;529397;1;1
514811;000000;2;2
514811;514837;1;2
514811;515230;1;8
557757;557765;1;2
557757;508217;2;1
514519;514462;2;3
514616;000000;1;1
514616;514543;2;2
514535;514462;1;13
515132;514624;1;7
514985;515442;1;15
515043;000000;2;10
515141;557757;1;2
515001;514837;1;4
515043;508217;1;1
515027;526142;1;1
515124;511218;2;1
515132;515078;1;2
515019;515001;2;1
514969;514462;2;1
515264;508438;1;2
515469;503665;2;1
515728;515001;1;1
515426;508438;2;2
515396;515396;1;1
515566;515078;2;1
515566;514501;1;1
557765;557765;1;9
515248;515001;1;2
514829;511498;1;4
514926;514659;1;2
514829;511595;1;1
514829;529435;1;1
515779;515612;1;4
515965;515892;1;3
515680;526142;1;9
515736;514888;1;9
515809;000000;1;2
515680;518808;1;1
515795;515795;1;18
515795;557901;1;4
515744;515469;1;1
515663;514811;2;1
515639;514462;2;7
515736;529346;1;1
515671;529362;2;1
516279;516279;1;47
516279;516210;1;6
515973;515973;1;39
515876;515850;1;34
515868;516473;1;2
515965;558206;1;1
515850;500011;1;6
515981;515850;2;2
515973;558206;1;1
516163;511218;1;1
516074;518468;2;1
516058;518158;2;2
516091;516538;1;2
516171;516112;2;1
516546;516490;2;3
516295;516571;1;2
516236;502979;1;1
516040;502871;1;1
516074;515850;1;2
516074;999999;1;1
558192;000000;1;3
516210;518158;1;4
516104;999999;2;2
516104;512036;2;1
558206;558214;1;1
516210;515973;1;2
516104;516520;2;1
516236;516244;1;1
516252;516406;1;1
516074;502863;1;1
516074;502715;2;1
516210;598682;1;1
516198;515914;1;3
516074;502740;1;1
516244;529320;2;1
515850;516571;2;4
515809;515680;2;2
515850;503011;2;1
515850;518239;1;2
515850;507954;1;1
515850;515914;1;1
516465;515850;2;3
516392;516490;2;1
516538;529346;1;1
516546;558206;1;2
516571;516279;1;1
516546;000000;2;1
516376;516295;1;1
516368;516368;1;18
516368;515965;1;10
516384;558206;1;1
516406;515906;1;2
516473;502871;2;1
516368;000000;1;1
516376;508438;1;1
516333;999999;1;1
518158;518808;2;55
518158;518280;1;2
518158;518361;1;4
518158;502481;1;1
516571;529346;1;1
516571;516406;1;1
518158;525651;1;1
518808;508438;1;241
517381;529338;1;3
516813;516589;1;28
516830;000000;2;10
518727;518298;1;15
518972;558133;1;3
518808;513881;1;1
518808;508861;1;1
517381;528595;1;10
517381;517399;1;8
517381;504203;1;1
517119;517381;1;30
516830;516767;1;4
517097;000000;2;24
517381;599328;2;2
581607;502031;1;4
517381;511200;1;1
517381;508853;2;1
517381;529311;1;1
517381;517402;1;1
518697;518158;2;10
558087;557293;1;2
518298;516643;2;1
518476;518158;2;3
518727;518581;2;2
518689;000000;2;5
558133;999999;1;2
558133;529371;1;1
518662;518760;1;1
517291;516589;1;9
517291;516830;1;7
517119;517097;1;1
517119;519006;1;1
517232;516759;2;1
517127;517127;1;8
517119;516813;1;8
517097;529338;1;1
516970;516589;1;203
516791;516589;1;60
516767;518158;1;5
516848;517313;1;10
516872;517259;1;2
516872;516872;2;3
516660;517313;1;4
516660;517011;1;1
516589;513903;1;1
516589;529401;1;1
516589;514462;1;1
516708;516767;1;17
599328;599328;1;30
517020;000000;2;6
517089;509744;2;1
516872;516589;2;9
516881;516988;1;2
516791;518921;2;1
516872;517135;1;1
516821;599328;1;1
516821;516643;2;1
581747;517089;1;1
517330;517330;2;5
517348;516589;1;2
517330;508560;2;1
517399;516643;1;1
517330;529320;2;3
517399;517381;2;1
516589;513016;2;1
516589;508853;1;1
517135;516881;1;1
599336;599336;2;4
517038;512605;2;1
517216;516627;1;1
516970;529397;2;1
517089;515396;1;1
519006;598186;1;62
519006;519197;1;7
519006;519545;1;1
519006;522279;1;8
519006;528064;2;2
519006;504009;1;1
519006;529397;2;7
519006;529354;1;5
519049;528595;1;3
519189;000000;2;4
519201;999999;2;16
519006;599875;1;3
517267;000000;1;2
517313;517313;2;7
517241;516589;2;15
517267;528595;1;1
519472;519472;1;30
519324;519324;2;4
519189;519006;2;14
519341;524140;1;10
519065;000000;1;3
519430;519006;1;26
519227;000000;2;10
519138;528595;1;1
519227;599824;1;2
519081;519472;1;1
519154;501026;1;1
519049;529346;2;1
519189;519049;1;3
519189;543268;2;1
519065;519049;1;1
519090;519227;1;1
519600;519006;2;3
519600;524140;2;2
519707;999999;1;8
519766;519235;1;6
519553;519511;1;2
519529;598186;1;3
519588;519227;2;2
519936;519341;1;2
519570;529346;2;1
519936;508438;1;1
519731;519430;1;1
519936;518964;2;1
519936;519235;2;1
519588;519201;1;1
519723;529371;1;3
519715;999999;2;5
519723;519308;2;1
519618;529346;1;1
519979;519324;1;3
519774;519421;1;6
519812;529397;2;1
519774;520004;2;1
520004;525529;1;4
518964;599841;2;1
519782;529371;1;2
519782;528595;2;4
520004;599891;2;2
519791;999999;2;12
519979;599841;2;1
519847;528595;1;2
519952;519421;1;1
519782;508438;1;2
519910;000000;2;2
519812;529419;1;1
519928;524140;2;1
519235;528595;1;8
519430;519006;2;3
519430;529494;2;2
519430;524140;1;1
519472;543853;1;1
519243;519448;1;1
519324;519871;1;1
519499;519499;1;3
519251;519251;1;7
519405;519006;1;26
519341;519324;1;2
519359;519677;1;2
519481;519570;1;20
519421;519073;1;2
519511;519502;1;2
519278;527661;1;1
519251;519235;1;1
519481;519235;1;1
519286;529346;2;1
520004;520497;1;5
520331;520802;1;57
520021;520403;2;1
520004;517402;2;1
520624;520802;1;17
520331;523101;1;5
520543;520004;1;72
520560;599841;2;2
