obecA;obecB;Periodicita dochadzky;POCET
524221;598151;1;6
524140;598186;2;104
524336;000000;1;80
518590;999999;2;15
525341;526959;1;1
524140;512036;1;4
559971;519197;1;4
524140;525341;1;8
524417;524140;1;57
525448;525448;1;22
525286;598151;1;1
517356;517097;1;10
580546;529320;1;2
524361;599824;1;1
516830;502031;1;31
581607;528595;1;8
518590;999999;1;52
524140;520004;1;9
517127;517381;1;3
581607;581607;1;46
524140;525073;1;12
525511;999999;1;12
524433;524140;1;113
524662;000000;1;31
525138;524140;1;209
517097;504998;1;2
518522;598186;2;1
517097;517097;2;142
525413;529320;1;3
524905;524832;1;1
516830;529320;1;3
517381;508438;2;4
524140;524883;1;6
581607;529320;1;4
525014;525405;1;8
516759;529320;2;2
524140;543292;2;5
517381;502413;1;1
525405;524743;1;3
517381;506745;2;3
524794;525405;1;2
524140;510262;1;7
525332;524140;1;39
524212;598151;2;1
524662;524662;1;24
524140;508438;2;8
524140;524981;1;9
517330;529320;1;3
517097;529320;2;8
525413;525260;1;37
524336;599824;1;1
525201;599841;1;6
524140;507288;1;1
580546;528595;2;1
525162;598151;2;1
525405;518590;1;15
524140;529460;2;4
517232;529346;1;1
524930;528099;1;1
524620;529320;1;3
517097;504009;1;1
524140;505820;2;4
524735;000000;2;3
524140;521884;1;3
525201;598151;1;8
524140;544051;1;21
525260;000000;2;33
524913;521931;1;1
524271;999999;2;1
516830;502421;1;3
517232;516805;1;2
580546;580546;1;12
516759;512842;1;1
581607;500968;1;2
517062;504998;1;3
517291;500011;2;2
516830;528595;2;4
517348;000000;2;8
517356;999999;2;6
517330;517381;1;3
517356;518158;1;1
524140;528099;2;5
524581;519421;1;1
556823;525405;1;8
556823;524140;2;7
524999;524999;1;26
524140;525189;1;4
524522;598186;1;9
524433;524433;1;25
525138;524760;1;1
524221;598682;1;1
524468;524140;2;17
524701;524140;1;52
524743;599891;1;1
524140;504009;1;3
524221;598186;2;9
524638;598151;1;1
524301;000000;1;28
524140;524786;2;3
524425;524140;1;21
525022;524514;1;4
524522;524531;1;5
524735;525146;1;3
525499;520004;1;2
524841;524638;1;1
524999;999999;1;13
525171;999999;1;11
524620;525260;1;1
525294;525294;2;5
524191;999999;2;2
524531;524522;1;2
524140;523259;1;1
525171;999999;2;9
524336;519006;1;3
525138;525138;2;7
525405;504815;1;1
525171;598186;2;2
525189;524727;1;5
524191;598186;1;3
525014;518522;2;2
524531;524140;2;4
524263;524743;1;1
525456;524620;1;4
518590;529184;1;1
517381;529371;2;3
517381;518808;1;3
517381;508217;1;2
517119;528595;1;3
517291;517291;2;5
517399;529371;1;2
517291;516759;1;2
517381;529320;2;4
516813;500968;2;1
516813;517348;1;1
517381;507741;1;1
516830;516589;2;1
516759;507440;1;1
516813;502031;1;2
581607;503011;2;1
516805;529371;1;1
516759;529311;1;1
517291;507989;2;1
517291;515230;1;1
517097;508063;2;1
525413;559687;1;2
524786;525260;1;6
524191;524409;1;2
524654;560103;1;1
524140;522279;2;13
524140;518808;1;2
525294;598186;2;1
559971;528595;1;2
524140;507032;2;5
525154;502031;2;2
525201;524760;1;2
524662;525146;1;1
524883;524883;2;3
524522;518590;1;6
524352;559687;2;1
524174;525391;1;1
524930;525430;1;2
524930;524263;1;1
525413;528595;1;6
524395;599841;2;1
525324;598224;2;1
524387;525031;1;1
524140;523844;1;1
524140;504998;1;1
524654;509868;1;1
524468;598151;1;1
524468;524191;1;3
518590;599018;1;1
524140;524000;2;1
524620;544051;1;2
524301;599824;2;1
524361;521639;1;2
525341;598151;2;1
524743;524620;1;1
525332;525448;1;1
524590;598151;1;3
524506;528595;2;2
524140;524344;1;2
524514;518590;1;4
525154;598186;1;3
524620;525341;1;1
525154;524263;1;1
524620;525456;1;1
524352;523101;1;2
524336;524581;1;1
525430;525260;1;1
524654;598186;2;1
525154;524379;2;1
524514;525448;1;1
524620;528595;1;3
525197;999999;2;3
525065;525065;2;2
525251;524841;1;2
524590;999999;1;1
525251;508438;1;1
524140;545686;1;1
525171;520004;1;1
525189;598224;1;1
525154;526509;2;1
524271;518590;1;1
518590;518158;2;1
525260;500011;1;1
524140;524387;2;1
525413;525405;2;1
524620;525146;2;1
518522;524638;1;1
524654;598151;1;1
525341;519235;2;1
524913;525014;1;1
524174;525511;1;1
525189;525405;2;1
524140;598208;2;1
525162;525162;2;1
525413;500011;1;1
525251;525430;1;1
525430;598224;1;1
525154;528595;2;1
524751;999999;1;2
524654;598127;1;1
524140;543241;1;1
524999;529320;2;1
524468;507253;1;1
525138;599841;1;1
524735;524522;1;1
524476;525405;1;1
524140;504581;1;1
524905;598186;1;1
556823;598224;1;1
524476;521671;1;1
524506;519391;1;1
524999;524123;2;1
525260;524450;1;1
524549;522279;2;1
525511;525090;1;1
525511;525235;2;1
524263;523089;2;1
525251;598224;1;1
525511;518590;2;1
524263;517402;2;1
525511;598208;1;1
525154;525405;2;1
525341;599824;1;1
524662;525499;1;1
525260;518522;1;1
524662;525260;1;1
525456;544051;2;1
525456;529371;1;1
524409;543501;1;1
525111;598186;1;1
525383;599824;1;1
529320;529354;1;371
529338;529389;1;46
529320;510386;1;1
511013;510262;1;105
510327;000000;2;16
520101;520471;1;19
511196;510262;1;205
510921;510921;1;4
529311;504017;1;2
510696;529320;1;1
510793;518034;1;2
510581;510262;1;68
510513;510262;1;60
510262;529389;1;6
510963;510726;1;82
510271;511196;2;7
510921;510726;1;3
511196;510726;1;21
529320;508209;1;11
511196;999999;1;32
510734;510734;2;9
510726;505935;1;1
510262;511048;1;11
529338;529389;2;7
529338;501905;1;10
511129;560103;1;1
520471;599824;2;2
529320;529401;1;13
510696;510696;1;8
511196;508438;2;1
511099;000000;1;29
510505;999999;1;3
510327;598186;1;1
510564;510726;1;59
510653;510777;1;1
529320;510998;1;2
520853;520471;1;6
510416;510904;1;1
510262;507032;2;3
520128;529320;1;1
511013;000000;2;10
510262;525791;2;1
520705;520471;1;1
510408;510408;1;46
510777;510726;1;7
510564;523933;1;2
510947;510998;1;10
510653;510262;2;10
510947;510947;1;31
511129;511196;2;6
510564;510521;1;2
510734;529346;2;1
510700;500011;1;1
510611;508675;2;1
510874;000000;1;13
511129;528595;1;3
510971;000000;1;8
510947;580287;1;1
510777;511196;2;1
510947;528595;1;2
510912;510912;1;14
510793;528595;1;5
510921;510998;1;1
510793;510831;2;2
510696;517402;1;2
558281;510386;2;1
510700;599875;1;1
510572;510564;1;1
510653;000000;2;6
510921;000000;2;4
511170;523925;1;15
510653;510785;1;1
510700;510688;1;1
510696;510815;1;1
510262;510823;1;2
510831;000000;2;1
510653;510386;1;1
510751;510271;1;1
510793;528595;2;1
510777;512842;1;1
510602;000000;1;2
511072;510700;1;1
510611;508233;1;1
510653;523381;1;2
510971;511196;2;1
510921;510921;2;1
510921;510327;1;1
511153;528595;2;1
558281;518549;2;1
511170;509540;1;1
511099;999999;2;1
510751;510734;1;1
511099;505820;2;1
510912;523933;2;1
510874;510386;2;1
510653;505820;2;1
510611;529419;1;1
529320;581020;1;3
529311;517402;1;4
529320;599841;1;1
529338;519863;1;1
529338;524140;1;1
529320;524140;1;1
529338;501891;1;1
529320;504041;1;2
529338;504947;2;1
529320;504025;1;1
529338;500011;2;3
529320;517429;2;1
529338;502863;2;1
529320;503967;1;1
510262;529338;2;1
510386;000000;1;39
511048;510262;2;12
510262;511200;2;3
510262;510785;1;3
510726;506338;1;1
510467;598224;2;1
510416;528595;1;1
510262;509868;2;2
520471;520616;2;1
510262;555754;1;1
510726;560103;1;4
510505;511846;1;1
510262;580287;1;3
510467;510858;1;5
511170;523933;1;18
510459;510459;2;2
520471;598224;2;4
510467;510963;1;2
510726;510271;2;1
510262;514268;2;1
511048;509001;2;1
511200;999999;2;3
511013;529397;1;1
511111;510262;2;2
510335;510653;1;1
520411;000000;1;20
510459;510572;1;1
510467;511129;1;2
510351;510386;2;2
510513;523381;1;1
510262;510246;1;1
510262;507989;1;1
520853;520853;1;5
520471;520934;1;1
511200;511196;1;1
510459;508438;2;1
510513;510734;1;1
510700;599816;1;1
510459;500011;1;1
510271;523381;2;1
510327;510793;1;1
510262;501433;1;1
511048;510726;2;1
510726;512729;1;1
510459;510955;1;1
511200;510742;1;1
556807;510572;1;1
510327;505820;2;1
520471;520446;2;1
520098;520004;1;4
511170;510963;1;1
520691;520926;1;1
520691;520993;2;1
520128;520802;1;1
520471;520853;2;1
520411;524140;1;4
520578;529419;1;1
510262;510203;1;1
520853;520004;1;4
520471;520187;1;6
520616;520616;1;5
520586;520586;1;1
520853;999999;1;2
520471;525529;2;1
510262;508179;2;1
559610;523062;2;1
521060;000000;2;1
559610;000000;2;1
520993;000000;2;2
559610;520471;2;1
520519;520535;1;1
520993;528099;2;1
520713;520471;2;1
520187;520128;1;1
507911;528595;1;274
507792;000000;1;25
507253;507253;2;79
512958;513326;1;154
507288;507032;1;91
507903;529311;1;26
507938;529354;1;29
508209;529460;1;38
510998;510262;1;168
513610;517402;1;79
512851;513610;1;502
510815;510998;1;163
508292;529389;1;3
507661;507661;1;57
507661;000000;1;94
508136;529460;1;21
508209;529346;1;56
511030;557358;1;38
555509;507814;1;6
508292;529354;1;6
507032;506851;2;8
523437;523402;1;3
560103;527688;1;26
508098;507938;1;4
507032;529419;1;3
523381;523682;1;1
523933;000000;2;33
523437;999999;1;16
508276;508217;1;27
513610;513334;1;14
523518;524034;1;2
508217;503894;1;18
508292;508136;1;3
523381;524140;1;22
513776;512851;1;40
524034;000000;1;123
513121;513326;1;62
510998;510815;1;15
523763;999999;2;15
524034;523381;1;187
523925;000000;2;35
508276;506745;1;6
512851;000000;1;276
503681;503681;1;16
523542;523950;1;7
507911;999999;1;17
560103;523925;1;16
503681;508217;1;63
513407;513610;1;31
510441;000000;1;61
507032;500488;1;2
510629;508560;1;26
560103;528595;2;4
507822;999999;2;3
507032;529362;2;3
507032;507156;2;28
508217;503983;1;6
511005;511048;1;1
556521;506745;1;37
555487;508101;1;2
503681;508250;1;1
508110;529419;2;1
523381;529389;1;6
507822;504017;1;2
560103;598186;1;8
512958;528595;1;3
513610;508063;2;1
508110;999999;1;9
506800;507253;2;4
510742;517402;1;4
513342;513610;1;273
510998;508217;1;4
512851;529362;2;1
510548;528595;1;1
510629;510998;1;272
508217;545333;1;2
557439;513610;2;18
507997;529320;2;18
508098;529362;1;6
508071;000000;2;19
556602;506745;2;3
508217;503801;1;4
513407;513156;1;15
523496;524000;1;1
507814;504122;2;1
523488;000000;1;91
523381;526860;1;1
