obecA;obecB;Periodicita dochadzky;POCET
543721;999999;2;3
543268;999999;2;59
507725;507156;1;15
526355;543519;1;41
526509;000000;2;79
505731;999999;2;14
513466;518034;1;6
543322;543322;1;109
557579;557447;1;1
526363;526355;1;50
507440;505846;1;11
526355;500887;1;1
543209;599841;2;1
506583;506338;1;140
507342;508365;1;1
507440;556572;1;29
543284;999999;1;27
580449;000000;1;34
506524;999999;1;138
512966;512842;2;18
505897;505897;2;15
505315;505722;1;65
526631;000000;2;8
543403;524000;1;1
507709;529362;2;1
505722;514454;1;11
513008;508217;2;1
543268;543322;2;1
543535;999999;1;56
543551;598186;2;2
506982;506001;1;3
507709;528595;1;4
543268;517402;1;8
543501;529460;1;1
507750;529346;1;10
580856;000000;1;31
543373;000000;1;88
506583;000000;1;62
513784;517461;2;1
506346;505820;1;2
526355;526291;2;1
557633;513610;1;5
507229;507440;2;10
543209;543268;1;32
506338;505897;1;27
505315;502669;1;1
543527;543268;1;35
505803;505455;1;8
581399;529338;1;4
543331;523933;2;1
581399;507750;1;12
507679;507768;1;1
505315;529371;1;13
506206;506125;1;13
543241;598224;1;3
513784;512036;2;1
526355;543489;2;4
505315;528595;2;15
560154;523381;1;72
543284;526355;2;27
543411;517402;1;2
506001;508063;2;1
543241;599824;1;4
526541;526509;1;38
518913;512842;2;9
543268;529460;1;6
557579;557935;1;1
505951;506524;1;7
507440;529419;1;2
505901;528595;1;8
507342;507741;1;2
526509;543268;2;9
543403;543268;1;5
513172;512915;1;3
506401;528595;1;3
543411;543586;1;1
512842;523925;1;3
506427;529320;1;8
507491;507679;1;4
505315;506966;2;1
526363;598186;1;2
506524;504998;1;1
543004;513903;1;1
506052;529346;1;1
526533;543594;1;1
526355;524093;1;6
507482;507032;1;1
526355;543373;2;7
507750;529354;1;3
543187;999999;2;9
505901;529389;1;1
543187;525529;1;1
506834;528595;1;2
513474;512842;2;26
513172;513172;1;22
506338;500933;1;1
556572;505846;1;5
543284;543331;1;1
513008;513156;2;2
558397;505820;1;1
507563;507440;2;28
526541;543268;1;3
512842;557935;1;3
512842;581984;1;1
513083;999999;1;9
512966;557447;1;4
557633;512842;1;109
513083;513610;1;8
512915;529320;1;3
512842;518808;1;3
557561;512842;1;22
546640;517402;1;1
506443;506001;1;35
513172;513563;1;1
513083;580813;1;1
513687;529460;2;1
580856;512851;1;2
580856;513156;1;2
580856;000000;2;7
557561;513563;1;1
557609;529320;1;1
557510;513440;1;2
506443;529320;2;4
580856;513351;1;1
513687;513741;1;1
557609;000000;2;2
512915;507741;1;1
557609;529346;1;1
513687;517402;2;2
557561;999999;2;1
543152;543616;1;3
543195;000000;2;13
543594;999999;2;22
560154;529354;1;2
560154;508217;2;2
543403;525235;1;1
543403;999999;2;13
543268;508217;1;1
543349;000000;1;35
543594;529338;1;2
560154;598224;1;4
543152;526355;2;6
543152;543152;2;4
543594;529346;2;3
543349;000000;2;7
560154;523933;2;4
543616;508179;2;1
543411;000000;2;10
560154;523763;1;1
543403;508438;1;1
543403;543616;1;1
543152;529320;2;2
526355;529311;1;7
526355;524131;1;1
543411;560154;1;2
526533;523381;2;5
543331;524140;1;1
526533;529320;2;6
543195;560154;1;2
543331;524093;1;1
543268;543241;1;1
526533;529338;1;1
543594;526380;1;1
526444;523381;1;4
526355;544051;1;2
526584;526584;1;35
526355;529427;1;1
526355;560103;1;7
543268;521574;2;2
526355;504009;1;1
543195;506338;2;2
560154;505820;2;2
543306;000000;2;2
526592;500011;2;2
543403;500968;2;1
543594;517402;2;1
526355;523194;1;1
526533;523496;1;1
543331;543519;1;8
543161;508233;1;1
526444;543292;1;2
543152;506656;2;1
543721;508217;1;1
543535;526509;2;2
543411;543331;2;1
560154;525430;1;1
543268;507741;1;1
506206;517402;2;1
505919;507440;1;7
543284;598186;2;1
526355;519006;1;1
543331;560022;1;1
505897;528595;1;4
526436;543519;1;1
526355;521639;1;1
506206;506257;1;3
506109;506281;1;1
505994;505994;2;6
543331;529320;2;1
505901;581399;2;1
506125;000000;2;32
506206;556581;1;1
506001;506991;1;2
556459;506125;2;3
506052;505994;1;8
506991;581020;1;1
505901;529338;2;1
506338;506184;1;12
543331;543594;1;1
526436;507741;2;1
543161;504998;2;1
556548;506001;1;5
506982;507156;1;13
526444;543195;1;1
507440;502031;1;10
507440;508101;2;1
556581;506001;1;4
507121;556483;1;1
507563;506745;1;4
558338;558338;1;10
505901;506443;1;8
506991;507385;1;3
506061;506338;2;5
506052;504041;1;1
506125;505919;1;6
505919;506419;1;1
505919;507229;1;1
505994;528595;1;2
506001;506125;1;4
506338;545686;1;2
506338;506079;1;2
506303;505846;2;3
507750;507725;1;16
507750;505846;2;7
506982;529460;1;1
507750;529320;2;8
558338;506206;1;7
506184;529346;1;2
543055;505722;1;13
507750;545686;2;1
505706;505722;2;2
542962;513989;1;59
505722;999999;1;35
558354;506338;1;3
558338;507156;1;4
507440;504696;1;1
507725;580899;1;2
507750;507288;1;8
507431;507288;1;1
543055;529346;2;2
556246;999999;1;5
506443;507440;2;5
506524;506583;1;2
542733;543047;1;12
513601;507032;1;1
506524;545686;1;2
580864;506559;2;1
513563;513156;1;3
513822;505820;1;1
506524;500968;1;1
506630;506435;1;3
506346;506125;1;4
543535;522279;2;1
556190;529320;1;1
512842;517526;1;7
543357;526045;1;1
543438;517402;1;1
543268;543501;2;1
513687;529338;2;2
513601;518913;1;5
513784;000000;1;32
513741;512036;2;3
518913;513610;2;5
557552;557552;1;7
513601;999999;2;15
543403;543489;1;1
526355;508021;2;1
543357;526509;1;1
543411;508063;1;1
507491;528595;1;4
526584;510858;2;2
543519;508438;1;1
507440;556581;1;5
507725;506125;1;1
506991;507768;1;2
558338;999999;2;5
558338;504262;1;1
526355;543497;1;1
507679;507466;1;1
526436;560154;1;1
507229;507768;1;2
543489;999999;1;15
506427;506443;1;2
506125;506303;1;1
558338;506001;1;5
506401;507679;1;4
506630;999999;1;14
506991;500968;1;1
556459;556459;2;6
506583;507440;1;4
506435;000000;2;3
507369;507288;1;5
558397;506982;2;1
507229;507491;1;1
507199;502031;1;1
507563;529320;2;2
556548;507440;2;6
558397;507709;1;1
507229;506206;1;1
543489;543519;2;2
506516;513351;1;1
556441;506303;1;3
506583;517402;1;2
506630;505901;1;2
506524;507938;1;2
505315;512460;1;1
513601;500011;1;2
513474;505820;1;6
505323;514268;1;9
542962;504998;2;2
507440;504386;1;1
507466;505901;1;4
556441;506583;1;1
507709;508217;2;1
505170;581658;1;1
507008;518808;1;1
507440;509876;2;1
506834;507342;1;2
507725;507318;1;1
556246;505196;1;2
580449;518158;1;1
507440;506435;2;2
507750;508101;1;2
542733;528595;2;5
542962;514454;1;2
507725;507491;1;1
507008;506842;1;1
580449;514268;1;2
505731;511218;1;1
507369;506991;1;1
507750;517402;2;1
506991;507482;1;1
513601;512851;1;10
507750;505820;2;2
556572;507687;1;1
507431;507750;1;3
506061;506559;2;1
507482;529320;1;2
558354;507750;1;1
505897;506141;1;1
505994;529460;1;1
507342;524778;2;1
558338;529460;1;1
507342;506435;1;2
506338;524140;1;1
505846;529460;2;1
505901;505846;2;5
506346;506427;1;5
506338;503886;1;2
507709;506915;1;1
506524;529338;2;1
506249;529320;1;3
505315;529419;1;2
506184;529354;1;1
505315;513946;1;5
505951;505871;1;1
506427;556572;1;2
542962;529320;2;2
506583;513440;1;1
505994;528595;2;1
505129;504998;1;1
505315;501026;2;1
506338;505901;2;5
506052;506745;1;2
505951;506583;1;1
556424;506435;1;1
505897;506524;2;4
506184;517402;1;1
506338;508217;2;1
543055;514292;2;2
505307;505170;1;1
506338;507679;1;1
506249;528595;2;1
506435;528595;1;1
506061;505846;1;1
506303;508438;1;1
518913;529460;1;1
513601;580864;1;1
505722;514136;1;1
506583;505871;2;1
505803;513911;1;2
513741;513377;1;1
513466;506338;2;1
505315;513946;2;5
543055;513989;1;1
505315;516589;1;2
543004;505170;1;2
505803;505722;1;3
505803;513016;1;1
513784;512842;2;3
512842;557579;1;2
543004;543101;1;4
513601;507156;2;1
513245;513245;1;1
556271;581658;1;1
513741;557471;1;1
506982;507482;1;2
557595;513008;1;3
513474;505820;2;3
558222;512851;1;1
507466;529460;1;1
507440;542717;1;1
556581;506613;2;1
513474;507440;1;1
507440;503452;1;1
506630;500011;2;1
505196;529338;2;1
513601;529338;2;2
506630;505846;1;1
506052;545741;1;2
506125;506052;2;1
512842;508179;1;2
505315;556327;1;1
506401;507032;2;1
505463;542962;2;1
507750;507687;1;3
507750;506206;2;1
506443;504041;1;1
506303;528595;2;3
505170;505820;1;2
505129;999999;2;1
513466;529427;2;1
556416;542733;2;1
505706;514241;1;1
513601;529419;2;1
505803;502413;1;1
506338;506249;1;1
557552;512851;1;1
505846;517402;2;1
512842;543004;1;2
506338;523933;2;1
542733;500933;1;1
505129;505323;2;1
506125;509132;2;1
506001;507156;1;1
505307;505765;1;1
505170;542962;1;1
505897;513326;2;1
543489;529320;2;1
505307;513016;1;1
513601;507032;2;1
506109;508101;2;1
543004;556262;2;1
505463;518158;1;1
580953;506745;1;1
505803;504009;1;1
506583;506559;1;1
543055;504203;2;1
505871;545741;1;1
543055;529460;1;1
512842;557633;1;2
512842;509515;1;1
556173;542652;2;1
512842;557935;2;1
556246;581658;1;1
513741;513156;2;1
542962;513598;1;1
543233;598186;2;12
543560;000000;2;28
543659;526576;1;1
543187;599841;2;8
526509;521400;2;5
543560;999999;1;25
543144;999999;2;6
505315;512036;1;1
580953;512036;1;1
505731;512842;1;1
543501;543268;1;59
526631;000000;1;24
543322;599841;1;14
543560;543497;1;8
526509;582093;1;1
505196;505731;1;1
543047;529354;1;1
580864;513610;2;1
543233;524140;1;10
543187;599824;1;4
526550;543373;2;1
543365;506885;1;1
543322;517402;1;2
543497;524140;2;3
543497;523381;1;2
543497;526649;2;1
543373;526355;2;8
526533;543179;1;1
526631;560154;2;1
543233;543365;1;1
543705;543578;2;1
526541;598151;2;1
543560;521671;2;1
526509;508438;2;2
526509;508055;2;1
543551;543322;1;1
526509;504335;1;1
543659;000000;2;19
543187;543241;1;2
543551;543632;1;2
543365;543365;2;8
543551;526355;1;2
543233;525413;1;2
543501;529346;2;1
543632;543560;1;1
543501;529371;1;1
543365;543322;2;2
543551;529346;1;1
543497;543365;2;1
543187;524743;2;1
543497;524760;1;1
543683;999999;1;2
526509;509302;1;1
543233;509981;1;1
543560;529371;1;1
526363;560154;1;2
543713;999999;1;2
543187;543535;1;1
543411;529346;1;1
526576;543578;1;1
526541;526550;1;1
527157;523381;2;1
517658;517402;2;48
517429;517429;1;268
518069;517402;1;445
517402;509256;1;363
517682;557935;1;10
518042;518042;1;421
517402;517518;2;1
518069;528595;2;3
517721;517917;1;12
598682;528099;1;8
517402;508179;1;4
517402;509256;2;48
517801;000000;1;55
517542;581712;1;11
598682;599875;1;84
517755;999999;1;15
599018;999999;2;3
517801;517941;1;1
527912;000000;1;63
517658;517917;1;26
517402;507741;1;3
517917;581712;1;19
517593;999999;1;9
518131;528595;2;1
517828;509205;1;1
517402;517712;1;37
517917;999999;2;33
518000;529460;1;1
598682;521582;1;2
527840;527297;1;5
517429;000000;1;123
517402;506338;1;2
517402;509175;1;1
517429;528595;2;8
598682;524760;1;2
599018;599891;1;6
517500;517500;1;111
527939;598186;1;4
518042;517674;1;1
581712;000000;1;34
517402;519006;2;1
517402;507156;2;1
517402;509744;1;1
557986;517402;2;13
517402;513296;2;2
517402;517721;1;3
517402;507750;1;2
518093;529460;1;3
517402;506036;1;1
518093;514331;1;1
517402;501735;2;1
517402;526142;2;1
517402;506818;2;1
517402;598151;2;1
517577;508233;1;1
517739;517933;1;1
518069;518158;1;1
518069;517801;1;1
598682;559831;1;9
598682;524352;1;1
598682;559687;2;20
598682;507032;1;2
598682;508438;2;3
598682;521400;1;17
598682;523381;2;4
598682;522040;2;2
598682;598216;2;6
598682;503011;1;1
598682;557358;1;1
598682;528315;1;1
518042;517402;2;54
518131;517917;1;17
518051;517941;1;6
598682;514462;1;1
518042;517712;1;28
547557;547557;1;10
517925;512842;1;3
517917;000000;2;61
518051;518069;1;1
517917;517941;1;2
599018;599093;2;1
518042;518034;1;23
517704;000000;1;38
598682;523313;2;1
517763;517402;1;72
518034;510998;2;2
517593;517984;1;1
517933;518131;1;4
517500;518034;1;10
517739;518093;1;2
517780;517933;2;2
517682;518808;1;1
517739;517461;1;3
557935;517551;1;5
517976;000000;2;17
517739;517577;1;1
517771;517771;1;29
517917;509728;2;1
517593;517461;1;5
517828;517828;2;6
517593;518263;2;1
517640;517640;2;4
517402;513253;1;1
517739;505820;1;1
517941;528595;1;4
518034;509256;2;1
518042;512036;1;2
518077;513008;1;4
517640;517933;2;2
517518;513016;2;1
599018;512036;2;1
517925;517542;1;1
518042;518069;2;6
557935;508179;2;1
557994;518051;2;1
547522;518034;1;5
517500;528595;1;4
517721;517721;2;5
518042;504378;2;1
598682;524654;1;1
518034;509248;2;1
517542;599913;1;1
517429;517771;2;1
518000;517984;2;2
518042;510998;1;3
518077;512842;2;1
517526;506338;1;1
517658;509001;2;1
518131;517933;2;4
547611;505820;1;1
517941;518093;2;1
517402;523585;2;1
517658;509132;2;4
558168;517461;1;1
517801;505820;2;1
547557;529354;1;1
527335;000000;1;23
527998;527998;1;5
527793;507440;1;1
527262;529320;1;2
527793;527793;1;4
527998;000000;1;12
527866;598186;2;4
527637;524140;1;2
528048;598224;1;1
518034;513881;1;1
517518;502413;1;1
517941;529371;1;1
517780;518131;1;1
517925;509256;1;3
557935;517941;1;1
517488;529320;2;1
518042;522376;2;1
527572;527572;2;1
517933;500011;1;1
517658;517461;2;1
518042;505072;1;1
557960;517721;1;1
517402;508063;1;1
517755;517925;1;1
517917;508632;1;1
517755;517933;1;2
517739;557935;2;2
517941;517771;1;1
517526;529346;1;1
518034;504769;1;1
518042;508217;2;2
518042;509132;2;1
557935;512842;1;1
518034;517828;1;1
517488;529320;1;1
518051;516643;2;1
557935;529346;2;1
517984;500011;2;1
517917;598186;2;1
517496;598224;2;2
517976;517518;1;1
517763;518042;1;2
517500;501026;2;1
517526;598224;1;1
547611;518034;2;1
517755;529346;2;1
517712;517526;1;1
517429;512036;1;1
557986;512842;1;1
560073;000000;1;13
517941;509132;2;1
527840;500135;1;1
527700;000000;2;6
527971;527840;1;8
527581;598216;1;1
527386;527840;1;2
527190;524140;1;1
527581;529320;1;1
528005;527823;1;1
527297;529320;2;1
517640;517925;2;1
527165;000000;2;2
527637;598224;1;1
527335;527637;1;2
527840;520004;2;1
517402;509523;2;1
527181;524140;1;2
527912;527106;2;2
527157;598224;1;1
527840;528005;1;1
527157;527262;1;1
547620;000000;2;2
581712;518034;1;1
527840;523372;1;1
527475;529346;1;1
527840;508063;2;1
527726;524140;2;1
527173;544086;1;1
529397;529346;1;2246
529389;529320;1;1755
509558;509540;1;93
506745;507156;1;711
544051;000000;1;1480
529427;528595;1;175
524000;999999;1;35
506745;507601;1;84
581020;506745;1;396
506745;508250;2;4
510149;999999;1;12
506931;506931;1;43
507211;508217;1;3
512036;510998;1;43
506745;581020;1;129
528862;528862;1;14
529427;506338;1;1
529371;000000;2;299
506745;529346;1;785
507768;513610;1;2
544213;510726;2;1
512478;518034;1;6
506745;529371;2;35
507555;528595;1;13
512435;512648;1;4
512583;512036;1;127
544086;999999;1;17
506818;506818;1;228
509566;000000;2;29
544094;598186;1;11
506877;506745;1;348
509906;509540;1;12
529427;529346;1;246
529371;529320;2;103
509914;000000;2;114
523585;529346;1;38
506842;529320;1;23
528846;000000;1;8
544094;523101;1;2
529397;507938;1;22
509884;509540;1;7
506745;503665;1;47
529427;529362;1;4
528854;528854;1;16
544051;999999;1;581
509892;000000;2;58
529389;999999;2;78
581241;523381;1;17
556670;507601;1;1
506842;507768;1;43
506915;506745;1;61
507768;507636;1;1
506745;505820;1;17
506745;517402;2;3
512711;512036;1;98
581020;506745;2;58
506877;508179;1;30
544051;529346;1;49
529389;508233;2;4
529397;508136;1;2
544159;522279;1;7
557358;517402;2;44
523682;526355;1;2
524000;523381;2;35
528854;000000;2;7
529371;508217;2;1
524000;508438;2;3
509914;999999;1;31
506940;506940;1;54
512133;999999;1;22
506796;528595;1;7
509868;509876;1;31
529257;523101;1;2
507156;507661;1;3
529117;528595;1;1
523461;526665;1;1
523607;000000;1;40
512036;512656;1;2
523526;524140;1;1
509892;999999;1;19
523887;526720;1;1
512541;999999;1;6
529389;508438;1;5
523828;000000;2;59
509884;509884;1;380
544183;524140;1;12
529176;000000;2;26
506818;598127;1;1
506826;999999;1;1
523836;523925;2;2
512036;512621;1;10
529397;508055;1;16
509850;509931;1;15
528790;544094;1;1
523836;523585;1;27
507741;503975;1;4
544213;529257;1;2
507571;000000;1;122
529125;999999;1;37
556661;528595;1;3
556491;507156;1;4
557358;506745;2;2
544108;544051;2;6
544051;528790;1;5
507687;507156;1;3
556564;508217;1;4
557358;999999;2;28
528919;598151;1;1
544078;518808;1;1
529168;510386;2;1
512681;529320;1;13
557358;529460;2;2
506745;522376;2;1
523585;510548;1;1
528781;544051;1;38
507067;507211;1;2
523771;523771;2;5
507296;529346;1;20
544213;529371;1;1
507296;507601;1;1
556513;503886;1;1
523526;524000;1;37
509680;000000;2;66
510149;510149;2;10
544132;544132;2;9
506745;517402;1;14
523836;524000;1;19
544060;000000;1;6
512036;512214;1;16
523992;506532;1;1
509591;529320;1;1
510246;509931;2;2
581488;581488;1;45
512036;599841;1;1
507318;507032;1;12
581488;581020;2;1
506745;503959;1;2
506745;507059;1;1
556688;507857;1;1
512648;512729;2;1
512648;518034;1;10
512648;000000;2;50
512567;512036;1;21
512524;512508;1;1
512834;507032;1;1
512648;517984;1;2
512753;512761;1;1
512354;517402;2;1
512541;000000;1;15
512524;529371;2;1
512583;512583;2;2
512541;000000;2;3
557358;517551;1;7
512371;512681;1;2
512389;518034;1;11
557358;529362;1;2
509582;510262;1;5
512036;512656;2;1
512486;512036;2;2
512753;512036;2;4
512648;560154;1;2
512648;528595;1;2
512672;512371;1;4
512486;512681;1;6
512214;529346;2;2
557358;543292;1;1
512036;509183;2;1
512036;510963;2;1
512524;528595;2;2
512583;529320;2;1
512761;528595;2;1
512036;512753;1;2
512435;518034;1;9
512681;599824;1;1
512168;512648;1;5
512150;529320;2;1
512656;512036;2;9
512818;512036;2;2
512583;512435;1;1
512389;529362;1;1
512648;523585;2;1
512672;512133;1;1
512214;512648;2;3
512150;516821;2;1
512737;557358;1;4
512737;528595;1;1
512583;512818;2;3
512681;518069;1;1
512486;999999;2;2
512214;512583;1;2
512036;529443;2;1
512478;509744;2;1
512681;516589;1;2
512753;529320;1;1
512133;512150;1;1
512036;508225;1;1
512541;512648;1;1
512036;512273;1;2
512133;529346;1;1
512036;512842;2;3
512354;508438;2;1
512656;509744;1;2
512681;529460;2;1
512168;512729;1;2
512583;528595;2;1
512702;512524;1;1
512664;529346;1;1
512052;516589;1;1
512036;507253;1;2
507512;507156;1;4
529397;518468;2;2
507571;000000;2;26
529397;506745;2;9
506877;529362;1;9
529371;529427;2;5
529397;522279;1;1
509850;510785;2;1
507296;000000;2;21
529419;529371;2;9
529419;501433;1;5
507067;507555;2;12
581020;000000;2;31
506818;506796;2;3
529389;507814;1;2
506745;506931;1;2
506923;556513;1;1
506796;556513;1;1
507636;529338;1;1
507571;507296;1;4
506788;507156;1;4
507741;506877;1;11
506931;506851;2;1
507555;506788;2;1
581020;507601;1;2
556556;581020;1;2
506745;507849;1;3
507741;506877;2;2
556653;507768;1;4
507776;999999;2;5
507156;999999;2;2
556564;508055;1;1
581020;507032;1;6
506923;529346;1;12
507351;507059;2;1
529397;501522;1;1
507067;529346;2;5
507687;507067;1;3
506893;500011;1;4
507571;510998;2;1
507059;507059;1;16
506940;507741;1;5
506842;529346;1;32
529389;501433;1;2
506877;507288;1;1
506788;507741;2;1
529389;512842;1;2
529389;504416;2;1
529397;519006;1;1
529371;504947;1;3
506842;507776;2;1
506877;555495;2;1
507687;500011;1;3
506842;506842;2;13
580473;528595;2;1
507741;528595;1;3
506877;507849;1;3
507351;507750;2;1
506893;507776;1;1
507741;504017;1;3
506940;529346;2;5
581020;507555;1;1
506788;999999;2;3
507041;505820;1;1
507512;507741;2;3
506842;507768;2;5
506869;507750;1;1
506745;560103;1;1
529397;509132;2;1
506877;508179;2;4
506745;504203;2;1
529371;529435;1;1
529371;508021;1;1
529397;510386;2;1
529371;517402;2;3
529371;505820;2;1
529389;508217;2;2
529419;508276;2;1
506745;599841;1;1
506869;504769;1;3
506877;507822;1;1
507636;507601;1;1
507512;529338;1;4
507512;503665;1;1
506745;507512;2;2
507768;529389;1;1
507601;529354;1;1
556599;529371;1;1
507636;507296;1;3
507687;581020;2;1
506745;503592;2;1
507164;506893;2;1
507318;518620;1;1
506877;529443;1;1
507571;507512;1;2
507059;507440;1;5
507211;507563;1;1
506851;507032;2;7
507741;529371;2;1
507741;529338;2;1
506893;507482;1;1
507041;507351;2;1
556661;507296;2;2
556491;504998;1;1
506931;529346;2;2
507351;506931;2;1
581020;507440;1;2
507211;507067;2;1
506796;529389;1;1
580473;507032;1;3
556556;504149;1;1
556556;529320;2;1
581020;505820;1;1
506818;505820;2;1
506851;529346;2;1
509680;509922;1;1
507512;504998;1;2
506745;510262;2;1
506851;557293;1;1
507601;506982;1;1
509680;510149;2;3
507211;507156;1;1
509591;509728;1;3
510246;529346;2;10
509914;510025;2;7
510050;529320;2;13
510050;529354;2;1
510025;529354;1;6
507555;556564;1;1
510025;529320;1;8
510050;518158;1;1
510050;529346;2;26
506931;529354;1;1
510149;509957;2;4
509809;509728;1;2
509931;510157;1;4
506877;503894;1;1
509850;501026;2;1
510025;529320;2;5
509892;510092;1;2
510246;517402;1;3
510050;509868;2;14
506796;507571;1;1
506745;508233;1;1
506745;599328;2;1
509868;510114;2;7
507741;529389;1;1
507067;556599;1;1
507768;503665;2;1
507512;529311;1;1
507067;580473;2;1
506745;507725;2;1
507776;529338;1;2
507211;507440;1;1
507555;513156;1;1
507741;508179;1;1
507164;529371;1;1
524042;524042;1;21
506842;507938;1;1
580473;529397;1;1
506931;510262;1;1
523828;598186;1;5
509850;510157;1;9
509779;512036;1;1
509680;509957;2;4
509931;509019;2;3
523861;523861;1;67
509914;509540;1;3
510033;508055;2;1
509817;510998;2;2
509850;512605;1;1
506915;504262;2;1
507067;500411;2;1
509591;510203;1;11
509931;510025;1;3
509868;510025;2;2
523429;000000;1;16
523992;000000;2;6
523739;999999;2;7
509809;509868;2;7
507687;508101;2;1
556670;507776;1;1
509914;505820;1;1
523992;000000;1;52
523674;000000;2;4
510246;510106;1;4
559938;000000;2;6
523470;523381;2;1
523976;524131;1;1
523828;523607;1;18
523623;559938;2;1
509728;529460;1;2
524115;526967;2;2
523623;529320;1;7
509850;509914;1;1
509809;529346;2;5
510157;509957;2;1
509914;509906;1;1
523623;543292;2;2
523585;523739;1;9
509591;510203;2;1
509931;528595;2;3
509884;502031;2;4
510092;509850;2;1
509931;529311;2;1
509582;509299;2;1
510025;510157;1;5
509914;508233;2;1
509680;508438;2;2
509892;529320;1;4
509680;517984;1;1
510033;517402;2;2
509566;512036;1;2
510157;508217;2;1
509566;509892;2;1
509582;510661;1;1
510050;510092;1;1
510025;509582;1;2
544141;581674;1;5
544051;544078;1;5
544051;506745;1;7
509566;529346;2;2
544141;529354;2;3
509680;508021;2;1
510033;510858;1;1
528901;000000;1;83
529036;000000;1;12
529257;000000;2;30
528765;528765;1;25
528731;544051;1;23
529044;528731;1;4
528749;999999;1;10
529052;000000;1;13
529117;581674;1;13
528927;523101;1;2
529265;528099;1;4
544213;529052;1;7
529001;581674;1;18
544213;520004;2;2
544094;520004;2;1
528986;999999;1;8
528986;000000;1;28
529141;544230;1;2
529168;598224;2;1
529141;523925;2;2
544132;598224;2;2
529125;529125;2;15
510033;509728;1;2
528749;544051;2;4
509680;517984;2;1
529257;529354;2;1
528960;506745;1;1
528773;529346;1;1
528757;598186;2;2
544086;528099;1;1
510033;510262;2;1
528862;000000;1;11
544221;598224;1;2
528935;598186;1;1
544213;599816;1;2
529125;598224;1;3
509566;509809;1;2
509728;509914;2;1
509850;509248;2;1
509850;502031;2;1
528943;523381;1;1
509591;509540;2;1
581674;599841;1;1
509779;525529;2;1
528943;522279;2;1
510203;517551;1;1
509728;513440;1;1
509728;580236;2;1
510050;507385;2;2
510246;512486;2;1
509728;509973;2;1
523623;523925;2;1
523585;526355;1;8
523585;598224;1;2
509884;507032;2;1
509931;513881;1;1
523623;559784;1;1
523585;523852;2;1
523682;523984;1;1
524115;000000;2;1
524042;529346;1;1
523534;529460;1;1
581241;523933;2;1
523984;523925;1;1
523429;523828;2;2
523526;529346;1;2
523500;524077;1;1
523836;518158;1;1
523607;523585;2;2
523623;523780;2;2
559938;000000;1;9
581241;529346;1;1
523976;523976;2;3
523801;999999;1;5
523801;523801;1;5
523674;523836;1;11
523534;999999;1;3
524000;523852;1;2
523623;510611;2;1
523682;526975;2;2
523712;526665;2;1
523607;508438;2;3
523623;510114;1;1
524077;529346;2;1
523429;526665;1;3
523828;528099;1;2
523976;529346;2;2
524042;526355;2;1
523861;524140;2;2
523836;529371;1;1
523861;529320;2;1
524115;523381;1;2
523984;524051;1;1
523780;526860;1;1
523623;523925;1;3
523526;526967;2;1
523836;506745;2;1
523739;529346;1;1
523828;523879;1;1
523615;523861;1;2
524042;524018;1;1
523861;529320;1;1
523828;507989;1;1
581241;523925;1;1
523682;505315;1;1
524000;523518;1;1
528811;528901;1;2
544051;520055;1;2
544051;528722;1;2
528811;523381;1;1
544060;506567;1;1
544132;529320;2;1
544051;520896;1;2
544051;521400;1;1
529231;999999;2;7
544159;529320;2;1
529117;522279;1;1
544051;525146;2;2
544124;504998;1;1
528846;522279;1;1
529133;504769;2;1
528757;528757;2;5
529257;999999;2;25
544132;999999;1;22
544051;524182;1;1
529222;522279;2;1
529265;500011;1;1
544159;529320;1;3
544213;519197;2;1
544213;521639;1;1
544167;000000;1;1
544116;544124;1;2
544159;502413;2;1
529036;525260;1;1
528862;518590;1;2
529036;544094;1;1
528994;528994;2;1
529036;544213;1;3
528943;581674;1;15
528986;528757;1;1
529257;502031;2;1
529028;508217;2;1
529028;598186;2;1
529265;506338;1;1
581674;544051;2;10
544205;544051;1;5
544051;528111;1;1
529150;544051;2;6
528757;528757;1;16
528765;523101;1;1
528901;503762;1;1
544175;523101;1;2
529257;598151;1;1
528960;525341;1;1
529176;544116;1;5
528901;598186;2;2
544132;528781;1;1
544086;599794;1;1
529257;529079;1;1
529176;520004;1;4
528986;529354;1;1
544086;512036;2;1
528960;519197;1;2
544230;500011;1;1
528854;524921;1;1
528781;523101;2;3
528919;528579;1;1
544230;581674;1;5
544230;524140;2;3
529133;522376;1;1
529150;522279;1;3
528943;544141;1;1
544108;529222;1;2
529141;504203;1;1
544094;529460;1;1
544175;529354;2;2
528790;529265;1;1
528986;544116;2;2
528960;528862;1;2
528838;528811;1;1
529206;581674;1;1
507601;508179;1;1
528846;529176;1;1
581674;544213;1;1
528846;529320;1;1
529206;528595;1;1
529206;529206;1;2
529117;000000;2;2
528862;544051;1;3
528960;544078;1;1
544086;519197;1;1
529290;599816;1;1
528871;598224;1;1
529290;506745;1;1
544094;525529;2;1
544221;528986;1;1
529257;508292;1;1
528935;529346;1;1
528757;528099;1;1
529206;999999;2;1
544116;529346;2;1
528781;500011;1;1
544094;529150;1;2
528846;529290;1;1
529141;506745;1;1
528935;599824;1;1
528854;529346;2;1
529206;527840;1;1
528757;508217;2;1
529231;544094;1;1
544230;521957;1;1
598224;999999;1;408
516589;516741;1;5
516767;000000;1;187
516589;516589;2;328
599883;598186;2;207
529460;520110;1;1
599859;599841;1;84
517364;518158;1;6
599883;599891;1;50
