"","obecA","obecB","pocet","okresA","okresB","obecA_nazov","obecB_nazov"
"79","510262","511056",2,"SK0315","SK0318","Liptovský Mikuláš","Štiavnièka"
"80","510262","511099",32,"SK0315","SK0315","Liptovský Mikuláš","Uhorská Ves"
"81","510262","511111",3,"SK0315","SK0315","Liptovský Mikuláš","Vavrišovo"
"82","510262","511129",3,"SK0315","SK0315","Liptovský Mikuláš","Važec"
"83","510262","511145",4,"SK0315","SK0315","Liptovský Mikuláš","Veterná Poruba"
"84","510262","511153",4,"SK0315","SK0315","Liptovský Mikuláš","Vlachy"
"85","510262","511170",5,"SK0315","SK0315","Liptovský Mikuláš","Východná"
"86","510262","511196",199,"SK0315","SK0315","Liptovský Mikuláš","Závažná Poruba"
"87","510262","511200",6,"SK0315","SK0315","Liptovský Mikuláš","Žiar"
"88","510262","558281",20,"SK0315","SK0315","Liptovský Mikuláš","Liptovská Porúbka"
"89","510262","580287",2,"SK0315","SK0315","Liptovský Mikuláš","Liptovský Peter"
"90","510271","510262",95,"SK0315","SK0315","Beòadiková","Liptovský Mikuláš"
"91","510271","510271",6,"SK0315","SK0315","Beòadiková","Beòadiková"
"92","510271","510386",1,"SK0315","SK0315","Beòadiková","Demänovská Dolina"
"93","510271","510505",1,"SK0315","SK0315","Beòadiková","Jakubovany"
"94","510271","510521",1,"SK0315","SK0315","Beòadiková","Jamník"
"95","510271","510611",1,"SK0315","SK0315","Beòadiková","Liptovská Kokava"
"96","510271","510726",11,"SK0315","SK0315","Beòadiková","Liptovský Hrádok"
"97","510271","510734",2,"SK0315","SK0315","Beòadiková","Liptovský Ján"
"98","510271","510742",1,"SK0315","SK0318","Beòadiková","Liptovský Michal"
"99","510271","510751",4,"SK0315","SK0315","Beòadiková","Liptovský Ondrej"
"100","510271","510777",1,"SK0315","SK0315","Beòadiková","Liptovský Trnovec"
"101","510271","510815",1,"SK0315","SK0318","Beòadiková","Lúèky"
"102","510271","510858",1,"SK0315","SK0315","Beòadiková","Malužiná"
"103","510271","510947",2,"SK0315","SK0315","Beòadiková","Podtureò"
"104","510271","510998",2,"SK0315","SK0318","Beòadiková","Ružomberok"
"105","510271","511099",4,"SK0315","SK0315","Beòadiková","Uhorská Ves"
"106","510271","511196",6,"SK0315","SK0315","Beòadiková","Závažná Poruba"
"107","510271","558281",1,"SK0315","SK0315","Beòadiková","Liptovská Porúbka"
"108","510301","507300",5,"SK0318","SK0318","Bešeòová","Ivachnová"
"109","510301","510262",15,"SK0318","SK0315","Bešeòová","Liptovský Mikuláš"
"110","510301","510301",31,"SK0318","SK0318","Bešeòová","Bešeòová"
"111","510301","510599",2,"SK0318","SK0318","Bešeòová","Likavka"
"112","510301","510653",1,"SK0318","SK0315","Bešeòová","Liptovská Sielnica"
