code,nazov,kod_obce,typ,okMesto,kMesto,IDN3,NM3,IDN2,NM2,NAZOVOBCE,KODOBCE,nazov_1,kod,obyv,x,y
032 23,Bobrovník,510335.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Bobrovník,"510335",136.00000000000,-390534.063,-1188039.990
032 23,Liptovská Sielnica,510653.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Liptovská Sielnica,"510653",597.00000000000,-387609.254,-1185031.190
032 23,Prosiek,510971.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Prosiek,"510971",208.00000000000,-388502.036,-1184740.390
032 23,Liptovská Anna,510602.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Liptovská Anna,"510602",84.00000000000,-390886.657,-1184615.210
032 23,Kvaèany,510572.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0","Kvaèany, okres Liptovský Mikuláš","510572",540.00000000000,-385361.993,-1182812.940
032 31,Hybe,510467.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Hybe,"510467",1469.00000000000,-365411.427,-1197743.280
032 32,Východná,511170.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Východná,"511170",2133.50000000000,-360841.675,-1196402.060
032 33,Krá¾ova Lehota,510564.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Krá¾ova Lehota,"510564",596.00000000000,-368255.005,-1200000.280
032 34,Nižná Boca,510874.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Nižná Boca,"510874",165.00000000000,-370451.240,-1208143.660
032 34,Malužiná,510858.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Malužiná,"510858",240.50000000000,-370057.788,-1204513.290
032 34,Vyšná Boca,511188.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Vyšná Boca,"511188",106.00000000000,-371870.137,-1210573.370
032 42,Vavrišovo,511111.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Vavrišovo,"511111",696.00000000000,-370376.001,-1194606.600
032 42,Pribylina,510963.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Pribylina,"510963",1317.00000000000,-367383.905,-1191688.470
032 44,Liptovská Kokava,510611.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Liptovská Kokava,"510611",964.00000000000,-365917.264,-1192717.580
032 61,Važec,511129.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Važec,"511129",2380.00000000000,-354272.757,-1196850.030
033 01,Podtureò,510947.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Podtureò,"510947",1098.50000000000,-375258.884,-1195982.760
033 01,Liptovský Hrádok,510726.00000000000,mesto,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Liptovský Hrádok,"510726",7484.50000000000,-372913.578,-1197782.710
033 01,Liptovská Porúbka,558281.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Liptovská Porúbka,"558281",1183.50000000000,-372294.156,-1198782.460
033 01,Jamník,510521.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0","Jamník, okres Liptovský Mikuláš","510521",457.00000000000,-373889.738,-1194134.700
033 01,Liptovský Peter,580287.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Liptovský Peter,"580287",1326.00000000000,-372129.681,-1196283.750
"03101",Liptovský Mikuláš,510262.00000000000,mesto,"1","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Liptovský Mikuláš,"510262",31269.50000000000,-380886.602,-1192374.640
034 01,Štiavnièka,511056.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Štiavnièka,"511056",823.00000000000,-400714.712,-1192535.600
034 01,Liptovská Štiavnica,510661.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Liptovská Štiavnica,"510661",1188.50000000000,-399868.432,-1194526.570
034 71,Ludrová,510823.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Ludrová,"510823",1013.00000000000,-401684.607,-1194998.470
034 72,Liptovská Lúžna,510629.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Liptovská Lúžna,"510629",2799.50000000000,-403354.110,-1206578.170
034 73,Liptovská Osada,510637.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Liptovská Osada,"510637",1626.50000000000,-407520.853,-1205344.860
034 74,Liptovské Revúce,510718.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Liptovské Revúce,"510718",1538.50000000000,-413761.676,-1208175.520
034 81,Lisková,510785.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Lisková,"510785",2100.50000000000,-399808.807,-1190400.640
034 82,Kalameny,510530.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Kalameny,"510530",464.00000000000,-394942.824,-1186609.500
034 82,Lúèky,510815.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0","Lúèky, okres Ružomberok","510815",1771.00000000000,-395854.897,-1186193.320
034 83,Bešeòová,510301.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Bešeòová,"510301",698.00000000000,-393740.756,-1189591.710
034 83,Potok,510955.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0","Potok, okres Ružomberok","510955",99.50000000000,-392668.780,-1188320.770
034 83,Ivachnová,507300.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Ivachnová,"507300",636.50000000000,-395493.798,-1190259.070
034 83,Liptovský Michal,510742.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Liptovský Michal,"510742",303.00000000000,-393297.703,-1190075.560
034 83,Liptovská Teplá,510670.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Liptovská Teplá,"510670",1016.00000000000,-395566.496,-1189182.630
034 83,Turík,507407.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Turík,"507407",251.50000000000,-397590.562,-1188467.760
034 91,¼ubochòa,510807.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",¼ubochòa,"510807",1055.00000000000,-413028.684,-1185957.130
034 91,Švošov,511064.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Švošov,"511064",829.50000000000,-411053.084,-1185777.300
034 91,Hubová,510441.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Hubová,"510441",1079.50000000000,-411796.644,-1186519.580
034 92,Stankovany,511030.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Stankovany,"511030",1178.00000000000,-412546.581,-1183149.970
034 95,Martinèek,510866.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Martinèek,"510866",444.00000000000,-400964.323,-1190012.910
034 95,Likavka,510599.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Likavka,"510599",3033.50000000000,-402706.524,-1189723.400
034 96,Valaská Dubová,511102.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Valaská Dubová,"511102",777.50000000000,-403715.687,-1184356.500
034 96,Komjatná,510548.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Komjatná,"510548",1517.00000000000,-407003.677,-1183535.140
"03401",Ružomberok,510998.00000000000,mesto,"1","0","508",Ružomberok,"5",Žilinský,,"0",Ružomberok,"510998",26781.50000000000,-403393.648,-1191016.340
"03484",Liptovské Sliaèe,511005.00000000000,vo,"0","0","508",Ružomberok,"5",Žilinský,,"0",Liptovské Sliaèe,"511005",3744.50000000000,-397262.783,-1193665.670
